release_date,event_type,source,source_url,timezone,release_time
2021-07-14,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2021-08-12,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2021-09-10,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2021-10-14,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2021-11-09,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2021-12-14,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-01-13,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-02-11,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-02-15,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-03-15,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-04-13,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-05-12,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-06-14,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-07-14,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-08-11,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-09-14,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-10-12,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-11-15,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-12-09,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-01-18,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-02-14,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-02-16,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-03-15,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-04-13,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-05-11,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-06-14,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-07-13,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-08-11,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-09-14,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-10-11,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-11-15,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-12-13,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-01-12,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-02-14,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-02-16,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-03-14,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-04-11,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-05-14,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-06-13,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-07-12,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-08-13,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-09-12,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-10-11,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-11-14,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-12-12,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-01-14,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-02-13,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-03-13,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-04-11,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-05-15,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-06-12,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-07-16,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-08-14,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-09-10,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-11-25,CORE_PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2018-01-11,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2018-02-15,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2018-03-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2018-04-10,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2018-05-09,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2018-06-13,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2018-07-11,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2018-08-09,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2018-09-12,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2018-10-10,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2018-11-09,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2018-12-11,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2019-01-15,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2019-02-12,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2019-02-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2019-03-13,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2019-04-11,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2019-05-09,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2019-06-11,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2019-07-12,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2019-08-09,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2019-09-11,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2019-10-08,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2019-11-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2019-12-12,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2020-01-15,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2020-02-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2020-02-19,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2020-03-12,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2020-04-09,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2020-05-13,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2020-06-11,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2020-07-10,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2020-08-11,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2020-09-10,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2020-10-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2020-11-13,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2020-12-11,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2021-01-15,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2021-02-12,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2021-02-17,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2021-03-12,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2021-04-09,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2021-05-13,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2021-06-15,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2021-07-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2021-08-12,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2021-09-10,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2021-10-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2021-11-09,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2021-12-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-01-13,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-02-11,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-02-15,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-03-15,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-04-13,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-05-12,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-06-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-07-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-08-11,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-09-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-10-12,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-11-15,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2022-12-09,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-01-18,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-02-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-02-16,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-03-15,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-04-13,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-05-11,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-06-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-07-13,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-08-11,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-09-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-10-11,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-11-15,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2023-12-13,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-01-12,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-02-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-02-16,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-03-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-04-11,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-05-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-06-13,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-07-12,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-08-13,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-09-12,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-10-11,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-11-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2024-12-12,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-01-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-02-13,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-03-13,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-04-11,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-05-15,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-06-12,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-07-16,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-08-14,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-09-10,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
2025-11-25,PPI,FRED,https://www.bls.gov/schedule/news_release/ppi.htm,America/New_York,08:30:00
