release_date,event_type,source,source_url,timezone,release_time
2020-06-10,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-07-14,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-08-12,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-09-11,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-10-13,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-11-12,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-12-10,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-01-13,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-02-08,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-02-10,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-03-10,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-04-13,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-05-12,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-06-10,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-07-13,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-08-11,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-09-14,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-10-13,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-11-10,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-12-10,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-01-12,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-02-08,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-02-10,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-03-10,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-04-12,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-05-11,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-06-10,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-07-13,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-08-10,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-09-13,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-10-13,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-11-10,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-12-13,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-01-12,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-02-10,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-02-14,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-03-14,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-04-12,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-05-10,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-06-13,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-07-12,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-08-10,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-09-13,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-10-12,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-11-14,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-12-12,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-01-11,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-02-09,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-02-13,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-03-12,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-04-10,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-05-15,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-06-12,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-07-11,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-08-14,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-09-11,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-10-10,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-11-13,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-12-11,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-01-15,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-02-12,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-03-12,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-04-10,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-05-13,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-06-11,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-07-15,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-08-12,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-09-11,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-10-24,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-12-18,CORE_CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2018-01-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2018-02-14,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2018-03-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2018-04-11,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2018-05-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2018-06-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2018-07-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2018-08-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2018-09-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2018-10-11,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2018-11-14,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2018-12-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2019-01-11,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2019-02-11,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2019-02-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2019-03-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2019-04-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2019-05-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2019-06-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2019-07-11,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2019-08-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2019-09-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2019-10-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2019-11-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2019-12-11,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-01-14,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-02-11,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-02-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-03-11,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-04-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-05-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-06-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-07-14,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-08-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-09-11,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-10-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-11-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2020-12-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-01-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-02-08,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-02-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-03-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-04-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-05-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-06-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-07-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-08-11,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-09-14,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-10-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-11-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2021-12-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-01-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-02-08,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-02-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-03-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-04-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-05-11,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-06-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-07-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-08-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-09-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-10-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-11-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2022-12-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-01-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-02-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-02-14,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-03-14,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-04-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-05-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-06-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-07-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-08-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-09-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-10-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-11-14,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2023-12-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-01-11,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-02-09,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-02-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-03-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-04-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-05-15,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-06-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-07-11,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-08-14,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-09-11,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-10-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-11-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2024-12-11,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-01-15,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-02-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-03-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-04-10,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-05-13,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-06-11,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-07-15,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-08-12,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-09-11,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-10-24,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
2025-12-18,CPI,FRED,https://www.bls.gov/schedule/news_release/cpi.htm,America/New_York,08:30:00
