release_date,event_type,source,source_url,timezone,release_time
2020-03-02,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2020-04-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2020-05-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2020-06-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2020-07-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2020-08-03,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2020-09-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2020-10-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2020-11-02,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2020-12-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2021-01-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2021-02-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2021-03-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2021-04-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2021-05-03,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2021-06-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2021-07-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2021-08-02,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2021-09-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2021-10-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2021-11-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2021-12-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2022-01-03,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2022-02-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2022-03-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2022-04-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2022-05-02,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2022-06-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2022-07-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2022-08-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2022-09-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2022-10-03,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2022-11-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2022-12-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2023-01-02,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2023-02-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2023-03-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2023-04-03,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2023-05-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2023-06-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2023-07-03,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2023-08-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2023-09-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2023-10-02,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2023-11-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2023-12-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2024-01-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2024-02-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2024-03-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2024-04-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2024-05-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2024-06-03,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2024-07-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2024-08-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2024-09-02,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2024-10-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2024-11-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2024-12-02,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2025-01-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2025-02-03,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2025-03-03,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2025-04-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2025-05-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2025-06-02,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2025-07-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2025-08-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2025-09-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2025-10-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2025-11-03,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
2025-12-01,TREASURY_AUCTION,Treasury,https://www.treasurydirect.gov/auctions/,America/New_York,13:00:00
